Communautes,CGT,Population_totale_1971,Anglophones_1971,Francophones_1971,Allophones_1971,Population_totale_1981,Anglophones_1981,Francophones_1981,Allophones_1981,Population_totale_1986,Anglophones_1986,Francophones_1986,Allophones_1986,Population_totale_1991,Anglophones_1991,Francophones_1991,Allophones_1991,Population_totale_1996,Anglophones_1996,Francophones_1996,Allophones_1996,Population_totale_2001,Anglophones_2001,Francophones_2001,Allophones_2001,Population_totale_2006,Anglophones_2006,Francophones_2006,Allophones_2006,Population_totale_2011,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits_1970,Votes_exprimes_1970,Bulletins_rejetes_1970,Parti_liberal_1970,Parti_quebecois_1970,Union_nationale_1970,Ralliement_creditiste_1970,Autres_1970,Electeurs_inscrits_1973,Votes_exprimes_1973,Bulletins_rejetes_1973,Parti_liberal_1973,Parti_quebecois_1973,Union_nationale_1973,Ralliement_creditiste_1973,Autres_1973,Electeurs_inscrits_1976,Votes_exprimes_1976,Bulletins_rejetes_1976,Parti_liberal_1976,Parti_quebecois_1976,Union_nationale_1976,Ralliement_creditiste_1976,Autres_1976,Electeurs_inscrits_1980,Votes_exprimes_1980,Bulletins_rejetes_1980,Non_1980,Oui_1980,Electeurs inscrits_1981,Votes_exprimes_1981,Bulletins_rejetes_1981,Parti_liberal_1981,Parti_quebecois_1981,Union_nationale_1981,Autres_1981,Electeurs_inscrits_1985,Votes_exprimes_1985,Bulletins_rejetes_1985,Parti_liberal_1985,Parti_quebecois_1985,Autres_1985,Electeurs_inscrits_1989,Votes_exprimes_1989,Bulletins_rejetes_1989,Parti_liberal_1989,Parti_quebecois_1989,Autres_1989,Electeurs_inscrits_1992,Votes_exprimes_1992,Bulletins_rejetes_1992,Oui_1992,Non_1992,Electeurs_inscrits_1994,Votes_exprimes_1994,Bulletins_rejetes_1994,Parti_liberal_1994,Parti_quebecois_1994,Action_democratique_1994,Autres_1994,Electeurs_inscrits_1995,Votes_exprimes_1995,Bulletins_rejetes_1995,Non_1995,Oui_1995,Electeurs_inscrits_1998,Votes_exprimes_1998,Bulletins_rejetes_1998,Parti_liberal_1998,Parti_quebecois_1998,Action_democratique_1998,Autres_1998,Electeurs_inscrits_2003,Votes_exprimes_2003,Bulletins_rejetes_2003,Parti_liberal_2003,Parti_quebecois_2003,Action_democratique_2003,Autres_2003,Electeurs_inscrits_2007,Votes_exprimes_2007,Bulletins_rejetes_2007,Parti_liberal_2007,Parti_quebecois_2007,Action_democratique_2007,Quebec_solidaire_2007,Parti_vert_2007,Autres_2007,Electeurs_inscrits_2008,Votes_exprimes_2008,Bulletins_rejetes_2008,Parti_liberal_2008,Parti_quebecois_2008,Action_democratique_2008,Quebec_solidaire_2008,Parti_vert_2008,Autres_2008,Electeurs_inscrits_2012,Votes_exprimes_2012,Bulletins_rejetes_2012,Parti_liberal_2012,Parti_quebecois_2012,Coalition_avenir_quebec_2012,Quebec_solidaire_2012,Parti_vert_2012,Option_nationale_2012,Autres_2012
Québec,99999,6027760,789185,4867250,371325,6438403,706115,5307010,425280,6532461,594850,5452830,484775,6895963,610290,5680635,605040,7138795,591149,5746016,707910,7237479,561453,5807412,756710,7546131,579420,5917130,939350,7903001,605109,6161441,1049725,3478578,2929999,57029,1304341,662404,564544,321370,20311,3764111,3025738,54760,1623734,897809,146209,294706,8520,4023743,3430952,70446,1135056,1390351,611666,155451,67982,4367134,3738854,65012,2187991,1485851,4409276,3638620,38523,1658753,1773237,144070,24037,4576600,3464232,52625,1910307,1320008,181292,4670690,3501068,92159,1702808,1369067,337034,4872965,4033021,87832,1709075,2236114,4893465,3992028,78239,1737698,1751442,252721,171928,5087009,4757509,86501,2362648,2308360,5254482,4115163,46691,1771858,1744240,480636,71738,5490551,3866248,48484,1755863,1269183,694122,98596,5630567,4010696,40078,1313664,1125546,1224412,144418,152885,9693,5738811,3295914,49581,1366046,1141751,531358,122618,70393,14167,5919729,4416437,53749,1360968,1393703,1180235,263111,43394,82539,38738
Abénakis - RI Odanak,50802,215,20,195,0,232,35,185,15,262,25,230,10,333,33,287,20,392,46,329,0,425,45,365,10,469,55,410,0,457,51,404,5,154,92,0,45,5,41,1,0,148,92,4,67,4,16,1,0,153,110,6,55,14,29,6,0,177,105,1,83,21,171,114,2,58,16,38,0,175,117,0,81,35,1,221,121,3,82,25,11,269,193,8,99,86,276,169,3,120,36,0,10,281,238,4,194,40,299,200,5,135,42,16,2,321,163,3,94,38,26,2,340,170,4,45,39,71,10,0,1,344,121,2,35,41,38,5,0,0,352,162,4,29,20,46,0,0,63,0
Abénakis – RI Wôlinak,38802,25,0,10,15,44,0,40,5,57,0,55,0,104,5,105,0,147,0,0,0,146,0,140,0,168,0,165,0,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,78,6,17,55,99,71,2,37,30,0,2,106,70,2,31,37,98,62,0,26,25,11,0,118,62,0,12,22,24,4,128,70,2,11,17,37,2,0,1,125,32,2,10,11,7,2,0,0,139,77,2,13,11,29,0,0,21,1
Algonquins - RI Kitcisakik,89802,0,0,0,0,125,0,115,10,204,0,0,205,72,0,5,70,214,0,10,200,219,0,40,185,294,0,50,245,339,0,205,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,46,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,33,10,0,5,3,2,0,0,0,44,23,0,5,18,0,0,0,0,84,18,0,5,3,4,2,4,0,0
Algonquins – RI Kébaowek,85802,0,0,0,0,135,110,10,15,125,100,5,15,130,125,5,5,205,175,15,10,242,210,15,10,270,240,10,15,284,250,25,5,26,19,0,18,0,1,0,0,179,106,2,94,1,2,7,0,163,121,4,90,2,13,12,0,193,160,8,146,6,56,35,0,31,2,0,2,47,16,0,8,5,3,44,16,1,15,0,0,64,17,1,11,5,136,81,0,80,0,1,0,142,138,1,137,0,169,124,1,118,2,2,1,196,95,1,89,2,3,0,203,81,0,71,7,2,1,0,0,205,55,0,51,3,0,1,0,0,234,71,0,49,3,11,1,4,3,0
Algonquins – RI Lac-Rapide,83804,270,5,0,265,260,5,0,255,0,0,0,0,115,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,109,2,41,21,13,32,0,104,33,0,16,11,3,3,0,82,46,2,24,15,2,3,0,5,3,0,3,0,76,33,0,10,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,1,26,0,0,0,0,0,0,81,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
Algonquins – RI Lac-Simon,89804,289,0,0,0,448,5,10,435,554,0,10,540,686,5,50,625,914,10,80,825,993,20,215,755,1165,10,175,980,1403,70,675,650,82,46,0,46,0,0,0,0,134,13,0,13,0,0,0,0,214,65,2,2,41,6,14,0,188,0,0,0,0,181,45,3,29,11,2,0,263,121,5,112,4,0,324,206,1,197,8,0,359,0,0,0,0,326,16,0,12,1,3,0,353,265,17,242,6,343,152,7,125,9,8,3,416,148,1,141,2,2,2,520,104,2,52,46,4,0,0,0,579,98,1,13,81,3,0,0,0,675,60,3,24,11,6,0,15,1,0
Algonquins – RI Kitigan Zibi,83802,768,265,120,380,714,375,45,290,794,340,124,335,563,79,21,470,0,0,0,0,1081,674,131,265,1165,770,145,250,1401,0,0,0,432,50,4,16,8,9,13,0,484,42,2,27,6,1,6,0,42,27,0,10,11,5,1,0,29,15,3,12,0,0,0,0,0,0,0,0,87,13,0,13,0,0,1320,5,0,3,2,0,764,21,0,10,11,671,15,0,15,0,0,0,145,130,0,124,6,254,36,0,26,9,1,0,367,20,0,15,4,1,0,453,44,0,34,4,5,0,1,0,498,14,0,11,3,0,0,0,0,541,44,0,33,3,6,2,0,0,0
Algonquins – RI Pikogan,88802,242,0,0,0,334,25,15,295,358,31,53,275,394,85,110,200,442,64,86,295,443,53,152,235,487,60,180,245,538,65,210,265,96,1,0,0,0,0,1,0,141,20,0,2,14,2,2,0,137,44,1,3,35,1,4,0,157,27,1,23,3,62,23,0,14,8,1,0,186,45,3,28,14,0,211,55,1,23,31,0,192,3,0,0,3,213,62,4,49,9,0,0,198,164,2,151,11,207,111,2,89,10,8,2,226,81,2,56,22,1,0,262,136,1,113,16,4,2,0,0,282,56,0,32,21,2,0,0,1,307,77,1,26,28,13,6,0,3,0
Algonquins – RI Timiskaming,85806,363,0,0,0,287,255,10,25,306,270,10,20,361,330,15,20,478,444,26,10,549,469,41,20,505,385,50,45,540,464,46,10,131,61,6,29,0,25,1,0,136,34,0,25,4,2,3,0,153,17,1,11,3,1,1,0,168,124,4,116,4,166,74,0,64,4,0,6,188,49,0,39,5,5,207,79,3,67,9,0,264,100,0,55,45,279,130,0,120,9,1,0,289,253,5,242,6,301,176,0,169,6,1,0,376,111,0,99,3,9,0,370,95,0,82,3,8,2,0,0,390,52,0,45,2,4,1,0,0,396,79,0,62,2,9,2,2,2,0
Algonquins – RI Winneway,85804,158,0,0,0,241,170,20,45,228,155,0,60,245,190,10,50,161,104,11,55,154,110,0,45,185,130,10,45,317,255,15,50,107,91,0,20,10,25,36,0,107,18,0,8,4,0,6,0,118,59,2,31,0,8,18,0,137,98,0,94,4,141,80,3,53,11,5,8,149,59,0,39,14,6,152,67,3,18,46,0,144,39,1,19,19,171,107,0,100,4,3,0,170,122,0,118,4,149,48,0,35,5,5,3,182,38,0,18,17,2,1,190,48,0,24,16,3,5,0,0,206,29,0,12,2,15,0,0,0,178,33,0,26,2,2,1,2,0,0
Attikameks - RI Manawan,62802,744,0,25,720,960,10,40,910,1065,0,15,1050,1224,0,15,1210,1416,10,40,1370,1646,0,40,1605,1843,0,35,1810,2073,5,50,2020,263,187,1,110,15,51,10,0,300,197,8,142,16,13,18,0,335,169,4,131,9,7,4,14,393,185,0,167,18,414,216,2,122,70,22,0,505,229,3,110,116,0,599,194,6,110,78,0,693,308,7,227,74,707,332,3,304,16,0,9,641,417,5,399,13,736,268,3,213,17,25,10,843,195,1,166,13,12,3,926,185,2,122,32,25,2,2,0,973,129,3,94,17,8,2,5,0,1068,147,4,56,55,13,15,4,0,0
Attikameks – RI Obedjiwan,90804,712,0,0,0,803,0,50,755,1007,0,15,995,1125,0,10,1110,1464,0,30,1430,1666,0,80,1590,1782,0,40,1740,2031,0,50,1980,243,39,4,15,10,5,5,0,318,119,0,85,26,6,2,0,382,175,4,69,51,39,12,0,464,114,0,114,0,518,138,1,88,19,30,0,437,90,0,32,58,0,731,99,1,45,53,0,605,206,1,141,64,697,70,1,38,15,10,6,34,32,0,13,19,159,26,0,9,12,5,0,438,56,0,32,15,7,2,545,70,2,35,5,19,2,6,1,601,52,1,35,7,3,6,0,0,715,75,13,36,13,8,3,0,2,0
Attikameks – RI Wemotaci,90802,458,0,0,460,542,0,170,365,570,0,10,565,708,0,15,690,856,0,20,835,1042,0,50,995,1073,0,70,995,1194,0,40,1150,189,54,3,32,8,6,5,0,174,91,4,68,8,0,11,0,207,69,0,36,18,9,2,4,236,26,1,20,5,244,89,0,65,17,7,0,339,94,1,38,55,0,388,58,0,33,25,0,417,115,4,86,25,387,91,2,29,6,1,53,194,94,0,84,10,268,109,2,58,20,24,5,449,165,2,129,17,11,6,494,138,1,83,14,26,5,9,0,540,118,3,96,10,3,6,0,0,605,122,9,57,13,17,16,0,4,6
Cris - VC Chisasibi,99814,1280,0,0,0,2222,105,110,2000,2373,71,123,2170,2306,90,155,2060,3251,115,170,2955,3467,175,170,3115,3972,165,145,3650,4484,213,152,4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,175,13,46,73,26,17,0,1044,472,9,378,85,1121,346,11,241,94,0,0,1240,395,9,158,181,47,1458,229,13,131,85,0,1566,280,11,163,106,1433,211,3,156,32,0,20,1485,1164,24,1084,56,1556,595,12,498,60,25,0,1732,299,2,166,120,11,0,1987,316,2,208,41,25,40,0,0,2075,231,2,108,48,14,21,0,38,2334,311,3,193,49,23,32,0,11,0
