stationId,adresse,latitude,longitude,X,Y,polluant,valeur,date,heure
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",11,2024-10-09,0
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",12,2024-10-09,0
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",7,2024-10-09,0
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"PM",5,2024-10-09,0
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",5,2024-10-09,0
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",12,2024-10-09,0
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",17,2024-10-09,0
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",15,2024-10-09,0
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",12,2024-10-09,0
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",15,2024-10-09,0
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",13,2024-10-09,1
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",14,2024-10-09,1
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",11,2024-10-09,1
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"PM",5,2024-10-09,1
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",4,2024-10-09,1
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",12,2024-10-09,1
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",17,2024-10-09,1
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",10,2024-10-09,1
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",12,2024-10-09,1
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",16,2024-10-09,1
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",14,2024-10-09,2
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",12,2024-10-09,2
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",12,2024-10-09,2
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"PM",5,2024-10-09,2
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",4,2024-10-09,2
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",11,2024-10-09,2
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",14,2024-10-09,2
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",14,2024-10-09,2
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",14,2024-10-09,2
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",14,2024-10-09,2
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",12,2024-10-09,3
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",12,2024-10-09,3
