mun_c,mun_n,reg_c,coord_x,coord_y,q2011,q2012,q2013,q2014,q2015,q2016,q2017
01023,Les �les-de-la-Madeleine,11,-61.70173538,47.769100414,,0.300,,,1.000,1.000,1.000
01042,Grosse-�le,11,-61.52085929,47.598776241,,,,,,,
02005,Perc�,11,-64.33261199,48.547148222,,,,,,,
02010,Sainte-Th�r�se-de-Gasp�,11,-64.44507872,48.444287711,,0.000,,0.200,0.000,0.000,1.000
02015,Grande-Rivi�re,11,-64.52242921,48.427415398,,0.000,,1.000,,,
02028,Chandler,11,-64.78022328,48.35474556,,,,,1.000,1.000,1.000
02047,Port-Daniel--Gascons,11,-64.94570972,48.211345164,,0.200,0.400,0.400,0.900,0.900,0.900
03005,Gasp�,11,-64.47406825,48.922409338,,,,,,,1.000
03010,Cloridorme,11,-64.87303006,49.158676203,,0.000,,1.000,1.000,0.000,
03015,Petite-Vall�e,11,-65.00933756,49.186220384,,0.300,,0.000,0.000,,
03020,Grande-Vall�e,11,-65.12403804,49.169405964,,0.100,0.100,0.150,0.150,1.000,
03025,Murdochville,11,-65.47678682,48.962655565,,0.000,0.900,1.000,,1.000,1.000
04005,Sainte-Madeleine-de-la-Rivi�re-Madeleine,11,-65.34516124,49.1760915,,0.000,0.050,1.000,1.000,1.000,1.000
04010,Saint-Maxime-du-Mont-Louis,11,-65.62779645,49.189610912,,0.020,0.000,0.330,1.000,1.000,1.000
04015,Mont-Saint-Pierre,11,-65.79362708,49.179903541,,0.250,,,,,
04020,Rivi�re-�-Claude,11,-65.87960633,49.158904946,,,,,,,
04025,Marsoui,11,-66.03987155,49.134733362,,0.000,0.100,1.000,,1.000,
04030,La Martre,11,-66.18297446,49.12445245,,,,,,,
04037,Sainte-Anne-des-Monts,11,-66.41864636,49.102454718,,0.100,,,,,0.500
04047,Cap-Chat,11,-66.68641382,49.057029367,,0.010,,,,0.000,
05010,Shigawake,11,-65.1028549,48.159091054,,,,,,,
05015,Saint-Godefroi,11,-65.15646682,48.148567041,,,,,,,
05020,Hope Town,11,-65.18236344,48.095192713,,,,,,,
05025,Hope,11,-65.24928084,48.122471328,,,,,,,
05032,Pasp�biac,11,-65.29142229,48.105318761,,0.000,,,1.000,,
05040,New Carlisle,11,-65.3517113,48.058674805,,,,,,,
05045,Bonaventure,11,-65.46673499,48.077055604,,0.000,,0.000,0.000,1.000,
05050,Saint-Elz�ar,11,-65.43369668,48.18252228,,0.150,0.850,0.850,0.850,0.850,0.850
05055,Saint-Sim�on,11,-65.5601895,48.113009508,,0.050,0.050,1.000,1.000,1.000,0.000
05060,Caplan,11,-65.67848089,48.132206451,,0.000,0.000,0.000,1.000,1.000,0.000
05065,Saint-Alphonse,11,-65.63865958,48.196767999,,0.850,1.000,1.000,1.000,1.000,0.000
05070,New Richmond,11,-65.80963156,48.196678425,,0.300,,,,1.000,1.000
05077,Cascap�dia--Saint-Jules,11,-65.93174693,48.270201223,,,,,,,
06005,Maria,11,-66.01295101,48.20001558,,1.000,1.000,1.000,,1.000,1.000
06013,Carleton-sur-Mer,11,-66.17712345,48.155995978,,0.100,,1.000,,1.000,1.000
06020,Nouvelle,11,-66.35505656,48.152140603,,,,1.000,1.000,1.000,
06025,Escuminac,11,-66.50409579,48.122579828,,,,,,,
06030,Pointe-�-la-Croix,11,-66.73891899,48.122237073,,,,,0.100,,
06035,Ristigouche-Partie-Sud-Est,11,-66.82446824,48.024238897,,,,,,,
06040,Saint-Andr�-de-Restigouche,11,-66.98923554,48.069426916,,,,,,,
06045,Matap�dia,11,-66.95961861,47.962540946,,1.000,,1.000,1.000,,
06050,Saint-Alexis-de-Matap�dia,11,-67.06072243,47.979117311,,0.100,0.500,0.500,1.000,,1.000
06055,Saint-Fran�ois-d'Assise,11,-67.18352517,47.980462938,,0.750,0.250,0.000,0.000,0.000,
06060,L'Ascension-de-Patap�dia,11,-67.26730181,47.929787275,,,,,,,
07005,Sainte-Marguerite-Marie,01,-67.0925885,48.312714623,,,,,,,
07010,Sainte-Florence,01,-67.23503734,48.268738213,,,,,,,
07018,Causapscal,01,-67.2379817,48.378225149,,0.050,1.000,1.000,1.000,,
07025,Albertville,01,-67.37014462,48.322681764,,,,,,,
07030,Saint-L�on-le-Grand,01,-67.51528913,48.368054369,,,,,,,
07035,Saint-Z�non-du-Lac-Humqui,01,-67.6094769,48.311433172,,,,,,,
07040,Sainte-Ir�ne,01,-67.64014345,48.423449952,,,,,,,1.000
07047,Amqui,01,-67.42588015,48.486658993,,0.000,0.000,1.000,0.100,0.000,0.000
07057,Lac-au-Saumon,01,-67.39468917,48.404202127,,,,1.000,1.000,1.000,0.150
07065,Saint-Alexandre-des-Lacs,01,-67.27776162,48.47881118,,0.000,0.000,0.000,0.000,0.000,
07070,Saint-Tharcisius,01,-67.30709836,48.54400489,,1.000,,,1.000,1.000,1.000
07075,Saint-Vianney,01,-67.418548,48.619532265,,0.000,,,1.000,0.500,0.000
07080,Val-Brillant,01,-67.55985764,48.524260311,,0.016,,,1.000,,1.000
07085,Sayabec,01,-67.67672326,48.595519711,,1.000,1.000,1.000,1.000,1.000,0.200
07090,Saint-Cl�ophas,01,-67.72950085,48.48516485,,0.000,,,,,
07095,Saint-Mo�se,01,-67.84976429,48.524861119,,0.000,,0.000,0.100,,
07100,Saint-No�l,01,-67.82621319,48.603439562,,0.000,,0.000,0.000,0.000,0.000
